text,label
"Очень нравится новый интерфейс портала, всё понятно и быстро.",positive
"Спасибо за оперативную помощь, вопрос решили за день!",positive
"Приложение постоянно вылетает, невозможно воспользоваться услугой.",negative
"Удобно записываться к врачу через сервис, очередей нет.",positive
"Ответ на обращение так и не пришёл, служба поддержки молчит.",negative
"Сервис в целом нормальный, иногда подтормаживает, но пользоваться можно.",neutral
"Дорога к дому наконец-то отремонтирована, спасибо!",positive
"Ужасное качество связи, невозможно дозвониться до оператора.",negative
"Информация на сайте устаревшая, непонятно куда обращаться.",negative
"Люблю новую функцию отслеживания заявок, всё видно сразу.",positive
"Сервис ничего не показывает, только белый экран после авторизации.",negative
"Неплохо, но хотелось бы больше уведомлений о статусе обращения.",neutral
"Работает стабильно, замечаний нет.",positive
"Слишком много шагов для подачи заявки, запутался.",negative
"Нейтрально отношусь к сервису, делаю через него только потому что нужно.",neutral
"Поддержка ответила через пять минут и всё подробно объяснила.",positive
"Приложение грузится по минуте, терпения нет.",negative
"Хорошо, что добавили напоминания — теперь ничего не пропускаю.",positive
"Не хватает подсказок по заполнению формы, пришлось искать инструкцию.",neutral
"После обновления данные пропали, это недопустимо.",negative
"Сервис помог найти свободное время в поликлинике — супер!",positive
"Отвечают вежливо, но по сути проблему не решили.",neutral
"Все уведомления приходят дважды, очень раздражает.",negative
"Интерфейс стал современнее, пользоваться приятно.",positive
"Ответ пришёл автоматически и не по теме, похоже на шаблон.",negative
"В целом ровно, ни хорошо ни плохо.",neutral
"Отслеживание обращений работает отлично, всегда знаю статус.",positive
"Прикрепить документы не удалось, форма зависает.",negative
"Добавьте, пожалуйста, темную тему, глаза устают.",neutral
"Спасибо разработчикам, сервис реально экономит время!",positive
